level1,level2,indicator,operational_definition,unit,preferred_data_source,disaggregation,source_problems,origin,coverage,schema_field
Impact,Affected population,Number of people or households affected,Extract the reported number of people or households affected by the crisis. Preserve the reported population unit and source definition; do not convert between people and households or recalculate the value.,people or households,"Situation reports, rapid assessments, official reports, and humanitarian updates",population unit; location; population group; displacement status; household type where applicable; source,Different sources may define affected populations and households differently; people and household counts must not be combined.,constrained,covered,needs_and_funding.overall_affected
Humanitarian Conditions,People in need,Number of people in need,Extract the reported number of people requiring humanitarian assistance. Do not create a new estimate from sector totals.,people,"Humanitarian needs overviews, situation reports, rapid assessments, and official reports",location; population group; displacement status; severity where reported; source,People-in-need estimates may use different methods or reference dates.,constrained,covered,needs_and_funding.overall_pin (+ <sector>.people_in_need)
Displacement,Current displacement,Number of people or households currently displaced,"Extract the reported number of people or households currently displaced. Preserve the reported population unit and source category such as IDP, refugee, asylum-seeker, or other displaced group; do not convert between units.",people or households,"Displacement tracking reports, registration data, site reports, situation reports, rapid assessments, and official reports",population unit; location; displacement status; sex and age group where reported for people; household type where reported for households; accommodation type; source,Displacement categories and counting methods differ across sources; people and household counts must not be combined.,constrained,covered,displacement.idp_stock (+ displacement.refugees)
Displacement,New displacement,Number of people or households newly displaced,Extract the reported number of people or households newly displaced during the source reference period. Preserve the reported population unit and do not convert between people and households.,people or households,"Displacement flow monitoring, situation reports, flash updates, rapid assessments, and official reports",population unit; origin; destination; cause; displacement status; sex and age group where reported for people; household type where reported for households; source,Values are not comparable if population units or reporting periods differ.,constrained,covered,displacement.new_displacements
Displacement,Return,Number of displaced people who returned,Extract the reported number of displaced people who returned to their area of origin or former residence during the source reference period.,people,"Return monitoring, displacement tracking, situation reports, and official reports",origin; return location; displacement status; source,Return figures may mix temporary and intended permanent returns.,constrained,covered,displacement.returnee_stock (+ displacement.new_returns)
Displacement,Movement,Number of people evacuated or relocated,Extract the reported number of people evacuated or relocated because of the crisis. Keep evacuation and relocation labels as stated by the source.,people,"Official emergency reports, situation reports, evacuation updates, and humanitarian reports",movement type; origin; destination; source,Evacuation and displacement may overlap.,constrained,missing,MISSING #644 -> displacement.movement
Displacement,Location,Number of displacement sites or locations,"Extract the reported number of sites, settlements, collective centres, reception centres, or other locations hosting displaced people. Preserve the location type used by the source.",locations,"Site monitoring, displacement tracking, camp coordination reports, and situation reports",location type; administrative area; source,Different site and location types may be counted together.,constrained,missing,MISSING #644 -> displacement.displacement_sites
Displacement,Accommodation,Reported accommodation type of displaced people,"Extract the accommodation type reported for displaced people, such as host family, rented housing, collective centre, formal site, informal site, public building, or open air. Extract a count or percentage only when stated.",category,"Displacement assessments, site reports, shelter assessments, and situation reports",accommodation type; location; displacement status; source,Accommodation labels vary across sources.,constrained,missing,MISSING #644 -> displacement.accommodation
Displacement,Drivers,Reported primary cause of displacement,"Extract the stated main cause or causes of displacement, such as conflict, violence, natural hazard, eviction, housing destruction, loss of services, or livelihood loss.",category,"Displacement reports, rapid assessments, protection reports, and situation reports",cause; origin; location; displacement status; source,Sources may report several overlapping displacement causes.,constrained,missing,MISSING #644 -> displacement.drivers
Displacement,Intentions,Reported preferred movement intention of displaced people,"Extract the stated preferred option of displaced people or households: return, remain, move onward, relocate, or undecided. Extract a count or percentage only when stated.",category,"Intentions surveys, displacement assessments, return reports, and situation reports",intention; population group; current location; source,Intentions depend strongly on the question and time horizon.,constrained,missing,MISSING #644 -> displacement.intentions
