level1,level2,indicator,operational_definition,unit,preferred_data_source,disaggregation,source_problems
Impact,Affected population,Number of people or households affected,Extract the reported number of people or households affected by the crisis. Preserve the reported population unit and source definition; do not convert between people and households or recalculate the value.,people or households,"Situation reports, rapid assessments, official reports, and humanitarian updates",population unit; location; population group; displacement status; household type where applicable; source,Different sources may define affected populations and households differently; people and household counts must not be combined.
Humanitarian Conditions,People in need,Number of people in need,Extract the reported number of people requiring humanitarian assistance. Do not create a new estimate from sector totals.,people,"Humanitarian needs overviews, situation reports, rapid assessments, and official reports",location; population group; displacement status; severity where reported; source,People-in-need estimates may use different methods or reference dates.
Displacement,Current displacement,Number of people or households currently displaced,"Extract the reported number of people or households currently displaced. Preserve the reported population unit and source category such as IDP, refugee, asylum-seeker, or other displaced group; do not convert between units.",people or households,"Displacement tracking reports, registration data, site reports, situation reports, rapid assessments, and official reports",population unit; location; displacement status; sex and age group where reported for people; household type where reported for households; accommodation type; source,Displacement categories and counting methods differ across sources; people and household counts must not be combined.
Displacement,New displacement,Number of people or households newly displaced,Extract the reported number of people or households newly displaced during the source reference period. Preserve the reported population unit and do not convert between people and households.,people or households,"Displacement flow monitoring, situation reports, flash updates, rapid assessments, and official reports",population unit; origin; destination; cause; displacement status; sex and age group where reported for people; household type where reported for households; source,Values are not comparable if population units or reporting periods differ.
Displacement,Return,Number of displaced people who returned,Extract the reported number of displaced people who returned to their area of origin or former residence during the source reference period.,people,"Return monitoring, displacement tracking, situation reports, and official reports",origin; return location; displacement status; source,Return figures may mix temporary and intended permanent returns.
Displacement,Movement,Number of people evacuated or relocated,Extract the reported number of people evacuated or relocated because of the crisis. Keep evacuation and relocation labels as stated by the source.,people,"Official emergency reports, situation reports, evacuation updates, and humanitarian reports",movement type; origin; destination; source,Evacuation and displacement may overlap.
Displacement,Location,Number of displacement sites or locations,"Extract the reported number of sites, settlements, collective centres, reception centres, or other locations hosting displaced people. Preserve the location type used by the source.",locations,"Site monitoring, displacement tracking, camp coordination reports, and situation reports",location type; administrative area; source,Different site and location types may be counted together.
Displacement,Accommodation,Reported accommodation type of displaced people,"Extract the accommodation type reported for displaced people, such as host family, rented housing, collective centre, formal site, informal site, public building, or open air. Extract a count or percentage only when stated.",category,"Displacement assessments, site reports, shelter assessments, and situation reports",accommodation type; location; displacement status; source,Accommodation labels vary across sources.
Displacement,Drivers,Reported primary cause of displacement,"Extract the stated main cause or causes of displacement, such as conflict, violence, natural hazard, eviction, housing destruction, loss of services, or livelihood loss.",category,"Displacement reports, rapid assessments, protection reports, and situation reports",cause; origin; location; displacement status; source,Sources may report several overlapping displacement causes.
Displacement,Intentions,Reported preferred movement intention of displaced people,"Extract the stated preferred option of displaced people or households: return, remain, move onward, relocate, or undecided. Extract a count or percentage only when stated.",category,"Intentions surveys, displacement assessments, return reports, and situation reports",intention; population group; current location; source,Intentions depend strongly on the question and time horizon.
Casualties,Deaths,Number of people reported dead,"Extract the reported number of people killed or dead because of the crisis. Preserve the source status such as confirmed, presumed, or unverified.",people,"Official casualty reports, situation reports, health reports, and humanitarian updates",casualty status; sex; age group; location; source,Casualty figures may be incomplete or use different verification standards.
Casualties,Injuries,Number of people reported injured,Extract the reported number of people physically injured because of the crisis. Preserve any severity category stated by the source.,people,"Official casualty reports, health reports, situation reports, and humanitarian updates",injury severity; sex; age group; location; source,Injury figures may be incomplete or duplicated across reports.
Casualties,Missing persons,Number of people reported missing,Extract the reported number of people missing in connection with the crisis. Preserve whether the figure refers to new reports or active unresolved cases.,people,"Official reports, tracing reports, protection reports, and situation reports",case status; sex; age group; location; source,New missing reports and active cases may be mixed.
Protection,Family separation,Number of separated or unaccompanied people reported,"Extract the reported number of people separated from family or caregivers, including unaccompanied or separated children when stated.",people,"Protection reports, child-protection reports, registration data, tracing reports, and assessments",population category; sex; age group; displacement status; location; source,Case counts may not represent all separated people.
Impact,Housing damage,Number of houses or dwellings destroyed,"Extract the reported number of houses, homes, dwellings, or residential structures classified as destroyed.",dwellings,"Damage assessments, official reports, remote-sensing reports, shelter reports, and situation reports",dwelling type; cause; location; source,Definitions of destroyed housing vary across sources.
Impact,Housing damage,Number of houses or dwellings damaged,"Extract the reported number of houses, homes, dwellings, or residential structures classified as damaged but not destroyed. Preserve any damage-severity category.",dwellings,"Damage assessments, official reports, remote-sensing reports, shelter reports, and situation reports",damage severity; dwelling type; cause; location; source,Damaged and destroyed categories may overlap in some reports.
Impact,Housing habitability,Number of houses or dwellings reported uninhabitable,Extract the reported number of houses or dwellings that cannot be safely occupied. Do not infer habitability from damage categories unless the source does so.,dwellings,"Shelter assessments, damage assessments, official reports, and situation reports",damage severity; dwelling type; location; source,Uninhabitable housing may overlap with destroyed or severely damaged housing.
Shelter,Shelter need,Number of displaced people or households reported in need of shelter assistance,Extract the stated number of displaced people or households requiring shelter assistance. Preserve the reported population unit.,people or households,"Shelter assessments, displacement reports, humanitarian needs reports, and situation reports",unit; accommodation type; displacement status; location; source,People and household units are sometimes mixed.
Shelter,Shelter condition,Number of people or households living in inadequate or unsafe shelter,"Extract the reported number of people or households living in shelter described as inadequate, unsafe, damaged, overcrowded, exposed, or lacking weather protection. Retain the stated condition.",people or households,"Shelter assessments, site reports, displacement assessments, and situation reports",unit; shelter condition; accommodation type; displacement status; location; source,Inadequate shelter is defined differently across documents.
Humanitarian Access,Access-constrained population,Number of people in hard-to-reach or inaccessible areas,"Extract the reported number of people living in areas described as hard to reach, inaccessible, besieged, isolated, or access constrained.",people,"Humanitarian access reports, situation reports, logistics updates, and protection reports",access classification; location; displacement status; population group; source,Hard-to-reach and inaccessible may represent different levels of constraint.
Humanitarian Access,Inaccessible locations,Number of locations inaccessible to humanitarian actors,"Extract the reported number of communities, settlements, sites, or administrative areas inaccessible to humanitarian actors. Preserve the location unit.",locations,"Humanitarian access reports, logistics updates, area coordination reports, and situation reports",location unit; access reason; displacement status of population; source,Different geographic units should not be combined.
Humanitarian Access,Access barriers,Reported humanitarian access barrier,"Extract the stated barrier to affected people reaching aid or humanitarian actors reaching affected people, such as insecurity, road damage, checkpoints, administrative restrictions, denial, weather, distance, transport, discrimination, or lack of information.",category,"Access reports, logistics updates, protection reports, rapid assessments, and situation reports",barrier category; direction of access; location; displacement status; source,Access barriers often overlap and use inconsistent terminology.
Humanitarian Access,Physical access,Number of roads or routes reported blocked or impassable,"Extract the reported number of roads, routes, bridges, crossings, or transport links described as blocked, closed, damaged, or impassable. Preserve the infrastructure type.",routes or infrastructure points,"Logistics reports, access maps, infrastructure assessments, official reports, and situation reports",infrastructure type; status; cause; location; source,Routes and individual infrastructure points may be mixed.
Capacities & Response,Assistance reached,Number of people reached with humanitarian assistance,Extract the reported number of people reached with a specified type of humanitarian assistance during the source reference period. Keep assistance types separate.,people,"Response monitoring, situation reports, cluster reports, distribution reports, and partner updates",assistance type; displacement status; population group; location; provider; source,Reached figures may double-count people receiving several services or rounds.
Capacities & Response,Response gap,Number of people reported not reached or without assistance,"Extract the reported number of people in need who were not reached, cut off, underserved, or without humanitarian assistance. Preserve the source wording and reason when given.",people,"Humanitarian needs and response reports, access reports, cluster reports, and situation reports",assistance type; reason; displacement status; population group; location; source,"Sources may use not reached, underserved, and without assistance differently."
Impact,Essential services,Number of essential service facilities damaged or non-functional,"Extract the reported number of health facilities, schools, water systems, markets, power facilities, communication facilities, or other essential service sites damaged or not functioning because of the crisis. Preserve the facility type and status.",facilities,"Sector reports, infrastructure assessments, official reports, remote-sensing reports, and situation reports",facility type; damage or functionality status; cause; location; source,Damaged and non-functional are not equivalent and should remain separate statuses.
Impact,Service disruption,Number of people reported affected by disruption of essential services,"Extract the reported number of people whose access to water, healthcare, education, energy, markets, communications, transport, or another essential service was disrupted. Preserve the service type.",people,"Sector reports, situation reports, infrastructure assessments, official reports, and humanitarian updates",service type; disruption type; displacement status; location; source,People affected by several service disruptions may be counted more than once.
